+----+-----------+-----------+
| 行 |  语义信息 |  词法信息 |
| 41 |     (     |   LPAREN  |
| 41 |     a     |     ID    |
| 41 |     [     | LMIDPAREN |
| 41 |     i     |     ID    |
| 41 |     ]     | RMIDPAREN |
| 41 |     )     |   RPAREN  |
| 41 |     ;     |    SEMI   |
| 42 |     i     |     ID    |
| 42 |     :=    |   ASSIGN  |
| 42 |     i     |     ID    |
| 42 |     +     |    PLUS   |
| 42 |     1     |    INTC   |
| 43 |   endwh   |   ENDWH   |
| 44 |    end    |    END    |
| 44 |     .     |    DOT    |
+----+-----------+-----------+
