+----+-----------+-----------+
| 行 |  语义信息 |  词法信息 |
| 36 |     1     |    INTC   |
| 36 |     )     |   RPAREN  |
| 36 |     do    |     DO    |
| 37 |   write   |   WRITE   |
| 37 |     (     |   LPAREN  |
| 37 |     a     |     ID    |
| 37 |     [     | LMIDPAREN |
| 37 |     i     |     ID    |
| 37 |     ]     | RMIDPAREN |
| 37 |     )     |   RPAREN  |
| 37 |     ;     |    SEMI   |
| 38 |     i     |     ID    |
| 38 |     :=    |   ASSIGN  |
| 38 |     i     |     ID    |
| 38 |     +     |    PLUS   |
| 38 |     1     |    INTC   |
| 39 |   endwh   |   ENDWH   |
| 40 |    end    |    END    |
| 40 |     .     |    DOT    |
+----+-----------+-----------+
